,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev
0,Kyle Larson,8.2,1,8,0,103.8,13.8,3,9,92.2,0.03,58.625,42.7,2.5
1,Chase Elliott,9.5,2,10,2,96.1,10.2,1,7,88.7,0.14285714285714285,28.142857142857142,6.8,2.5
2,Ty Gibbs,11.5,0,0,0,86.2,17.7,0,3,73.7,0.15,0.0,4.85,2.5
3,Brad Keselowski,13.5,1,5,1,90.3,22.4,0,2,66.5,0.038461538461538464,15.807692307692308,4.05,3.5
4,Erik Jones,13.8,0,1,1,79.1,19.3,0,2,65.3,0.09090909090909091,0.0,0.05,3.5
5,Kyle Busch,13.9,3,14,7,102.0,17.3,0,2,71.7,0.19444444444444445,38.19444444444444,3.1,3.5
6,Joey Logano,14.5,0,5,2,83.5,17.2,1,2,84.6,0.07142857142857142,1.3214285714285714,17.9,3.5
7,Tyler Reddick,14.5,0,0,0,80.0,13.9,0,5,91.2,0.03,0.0,5.6,3.5
8,William Byron,14.9,0,3,1,89.4,13.9,1,7,98.3,0.1,25.7,38.45,3.5
9,Daniel Suarez,15.5,0,1,1,70.6,21.4,0,1,61.3,0.08333333333333333,1.8333333333333333,0.7,3.5
10,Denny Hamlin,15.6,2,8,4,91.6,13.6,3,9,90.4,0.11764705882352941,24.058823529411764,25.63157894736842,3.5
11,Alex Bowman,17.1,1,5,2,79.7,17.5,0,4,80.3,0.15384615384615385,10.923076923076923,7.85,3.5
12,Ryan Blaney,17.4,0,1,1,88.2,18.5,1,7,88.3,0.07142857142857142,6.571428571428571,17.6,3.5
13,Josh Berry,18.0,0,0,0,65.9,21.3,1,2,74.4,0.15,1.0,8.45,3.5
14,Christopher Bell,19.0,0,1,1,72.2,12.3,3,8,89.3,0.16666666666666666,0.16666666666666666,7.7,4.5
15,Justin Haley,19.0,0,0,0,59.4,22.0,0,0,55.9,0.15,6.333333333333333,0.15,4.5
16,Chris Buescher,19.9,0,0,1,65.8,14.1,0,3,82.6,0.07142857142857142,1.2857142857142858,1.65,4.5
17,Noah Gragson,20.0,0,0,0,55.6,24.3,0,1,56.3,0.15,0.0,0.1,4.5
18,Ricky Stenhouse Jr.,20.1,0,1,3,69.7,20.3,0,1,57.1,0.14285714285714285,1.6666666666666667,0.15,4.5
19,Austin Dillon,20.1,0,0,0,68.3,20.9,0,0,58.6,0.03,2.5789473684210527,0.4,4.5
20,John Hunter Nemechek,21.3,0,0,0,54.9,19.4,0,1,60.5,0.15,0.0,0.1,4.5
21,Bubba Wallace,21.4,0,0,1,60.2,20.2,0,3,76.4,0.1,0.1,5.15,4.5
22,Ross Chastain,21.6,0,2,1,63.4,14.7,1,3,77.7,0.1,18.4,3.1,4.5
23,Carson Hocevar,22.0,0,0,0,51.8,23.0,0,2,72.9,0.15,0.0,3.6,4.5
24,A.J. Allmendinger,22.7,0,0,4,68.6,19.1,0,1,68.0,0.16,6.08,0.2,4.5
25,Zane Smith,24.0,0,0,0,35.0,19.7,0,0,65.7,0.15,0.0,0.75,4.5
26,Chase Briscoe,24.3,0,0,0,53.0,14.7,1,7,83.6,0.15,0.0,8.95,4.5
27,Ryan Preece,24.4,0,0,1,52.4,17.0,0,1,80.1,0.125,0.0,2.8,4.5
28,Ty Dillon,25.1,0,0,1,51.1,22.4,0,0,53.4,0.09090909090909091,2.5454545454545454,0.4,4.5
29,Austin Cindric,25.7,0,0,0,57.5,20.5,1,1,78.2,0.15,0.0,12.55,4.5
30,Todd Gilliland,28.0,0,0,0,35.7,21.8,0,0,56.1,0.15,0.0,0.55,4.5
31,Michael McDowell,30.8,0,0,10,43.4,19.1,0,2,67.5,0.35,0.375,3.85,4.5
32,Cody Ware,34.0,0,0,2,30.2,29.3,0,0,35.4,0.35,0.0,0.1,4.5
