,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev
0,Tyler Reddick,5.0,0,1,0,101.9,13.8,0,5,91.0,0.15,20.0,5.333333333333333,2.5
1,Cole Custer,5.0,0,1,0,92.3,24.6,0,0,47.8,0.15,0.0,0.09523809523809523,2.5
2,Todd Gilliland,6.0,0,0,0,78.4,22.0,0,0,55.1,0.15,1.0,0.5238095238095238,2.5
3,Austin Cindric,7.0,0,0,0,60.3,20.3,1,1,77.6,0.15,0.0,11.952380952380953,2.5
4,Christopher Bell,8.0,0,1,0,92.7,12.6,3,8,89.8,0.15,1.0,10.523809523809524,2.5
5,Noah Gragson,9.0,0,0,0,76.2,24.7,0,1,55.8,0.15,3.0,0.23809523809523808,2.5
6,Carson Hocevar,12.0,0,0,0,65.3,23.6,0,2,71.6,0.15,0.0,3.8095238095238093,2.5
7,Joey Logano,12.6,0,4,1,92.6,17.0,1,2,84.8,0.07692307692307693,6.153846153846154,17.047619047619047,3.5
8,Kyle Busch,12.8,2,5,2,102.6,17.0,0,2,72.4,0.11764705882352941,19.352941176470587,2.9523809523809526,3.5
9,Daniel Suarez,12.8,0,0,0,69.2,21.6,0,1,60.6,0.03,0.0,0.9523809523809523,3.5
10,Brad Keselowski,13.6,1,3,1,89.9,21.8,0,2,66.8,0.08333333333333333,11.916666666666666,3.857142857142857,3.5
11,Bubba Wallace,13.8,0,2,1,78.4,19.6,0,3,76.9,0.25,6.5,5.0476190476190474,3.5
12,Kyle Larson,13.9,1,2,2,98.6,13.3,3,10,92.6,0.2857142857142857,2.5714285714285716,40.666666666666664,3.5
13,Denny Hamlin,14.6,0,5,2,95.2,13.0,4,10,92.2,0.125,9.5,27.7,3.5
14,Chase Elliott,16.7,0,0,1,80.7,10.0,1,7,90.9,0.14285714285714285,3.857142857142857,17.80952380952381,3.5
15,Zane Smith,17.0,0,0,0,69.1,19.8,0,0,65.2,0.15,0.0,0.7142857142857143,3.5
16,Ty Dillon,17.2,0,0,0,58.4,22.3,0,0,53.3,0.03,0.0,0.38095238095238093,3.5
17,Austin Dillon,17.3,0,0,1,72.1,20.6,0,0,58.8,0.1111111111111111,0.6666666666666666,0.38095238095238093,3.5
18,Ryan Blaney,17.7,0,1,2,89.0,18.0,1,7,88.1,0.2857142857142857,3.7142857142857144,16.761904761904763,3.5
19,Cody Ware,18.0,0,0,0,40.8,29.6,0,0,34.9,0.15,0.0,0.09523809523809523,3.5
20,Chris Buescher,19.3,0,0,1,62.2,13.8,0,3,82.3,0.16666666666666666,0.0,1.5714285714285714,4.5
21,Ross Chastain,20.0,0,0,0,54.3,15.6,1,3,77.6,0.15,2.5,2.9523809523809526,4.5
22,Justin Haley,20.0,0,0,0,45.8,21.7,0,0,55.8,0.15,0.0,0.14285714285714285,4.5
23,William Byron,22.0,0,1,1,78.5,14.7,1,7,98.0,0.25,4.75,36.61904761904762,4.5
24,John Hunter Nemechek,22.0,0,0,1,79.0,19.4,0,1,59.9,0.35,8.0,0.09523809523809523,4.5
25,A.J. Allmendinger,23.0,0,0,3,61.9,19.9,0,1,67.7,0.2727272727272727,0.36363636363636365,0.19047619047619047,4.5
26,Ty Gibbs,23.0,0,0,0,72.1,17.0,0,4,75.0,0.15,0.0,4.666666666666667,4.5
27,Chase Briscoe,24.0,0,0,0,66.3,14.0,1,8,85.0,0.15,0.0,9.142857142857142,4.5
28,Michael McDowell,25.0,0,0,2,53.0,18.8,0,2,68.1,0.16666666666666666,0.16666666666666666,3.6666666666666665,4.5
29,Erik Jones,26.6,0,1,3,66.8,19.7,0,2,64.4,0.35,2.0,0.047619047619047616,4.5
30,Ricky Stenhouse Jr.,27.0,0,0,2,57.7,20.4,0,1,56.4,0.2222222222222222,0.0,0.14285714285714285,4.5
31,Ryan Preece,27.3,0,0,2,48.5,17.1,0,1,79.6,0.35,0.0,2.6666666666666665,4.5
32,Alex Bowman,33.0,0,0,3,53.2,16.8,0,5,81.6,0.35,0.0,7.523809523809524,4.5
33,Josh Berry,35.0,0,0,1,53.2,21.6,1,2,73.6,0.4,0.0,8.047619047619047,4.5
