,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev
0,Ryan Blaney,1.0,1,1,0,146.0,17.5,1,7,87.8,0.15,201.0,16.636363636363637,2.5
1,William Byron,2.0,0,1,0,120.0,14.8,1,7,98.6,0.15,0.0,34.95454545454545,2.5
2,Chase Elliott,3.0,0,1,0,116.6,10.1,1,7,89.8,0.15,1.0,17.0,2.5
3,Christopher Bell,4.0,0,1,0,97.2,12.4,3,8,89.7,0.15,7.0,10.045454545454545,2.5
4,Ricky Stenhouse Jr.,5.0,0,1,0,79.6,21.0,0,1,55.4,0.15,4.0,0.13636363636363635,2.5
5,Joey Logano,6.0,0,0,0,100.4,17.7,1,2,84.5,0.15,0.0,16.272727272727273,2.5
6,Josh Berry,7.0,0,0,0,110.2,21.6,1,2,74.1,0.15,32.0,7.681818181818182,2.5
7,Alex Bowman,8.0,0,0,0,91.6,16.4,0,5,81.2,0.15,0.0,7.2727272727272725,2.5
8,Daniel Suarez,9.0,0,0,0,90.1,21.9,0,1,59.9,0.15,4.0,0.9090909090909091,2.5
9,Brad Keselowski,10.0,0,0,0,86.6,21.0,0,3,67.8,0.15,5.0,3.6818181818181817,2.5
10,Ross Chastain,11.0,0,0,0,94.4,16.6,1,3,75.1,0.15,0.0,2.8181818181818183,2.5
11,Todd Gilliland,12.0,0,0,0,69.8,21.2,0,0,55.9,0.15,0.0,0.5,2.5
12,Justin Haley,13.0,0,0,0,75.0,21.2,0,0,56.8,0.15,0.0,0.8181818181818182,3.5
13,Carson Hocevar,14.0,0,0,0,63.0,23.0,0,2,72.9,0.15,0.0,3.6363636363636362,3.5
14,Noah Gragson,16.0,0,0,0,58.2,25.0,0,1,55.1,0.15,0.0,0.22727272727272727,3.5
15,Bubba Wallace,17.0,0,0,0,68.0,18.7,1,4,79.5,0.15,0.0,6.181818181818182,3.5
16,Chris Buescher,18.0,0,0,0,57.5,13.8,0,3,83.0,0.15,16.0,1.5,3.5
17,Austin Dillon,19.0,0,0,0,49.0,21.4,0,0,58.3,0.15,0.0,0.36363636363636365,4.5
18,Tyler Reddick,22.0,0,0,0,71.6,14.5,0,5,91.0,0.15,0.0,5.090909090909091,4.5
19,Michael McDowell,23.0,0,0,0,67.8,19.3,0,2,66.4,0.15,0.0,3.5,4.5
20,Denny Hamlin,24.0,0,0,0,42.1,12.5,4,11,92.2,0.15,0.0,26.428571428571427,4.5
21,Ty Gibbs,25.0,0,0,0,61.5,17.2,0,4,75.0,0.15,0.0,4.454545454545454,4.5
22,John Hunter Nemechek,26.0,0,0,0,40.5,19.1,0,1,60.4,0.15,0.0,0.13636363636363635,4.5
23,Ryan Preece,27.0,0,0,0,46.0,16.5,0,2,79.9,0.15,0.0,3.090909090909091,4.5
24,Chase Briscoe,28.0,0,0,0,64.8,14.2,1,8,85.6,0.15,0.0,10.272727272727273,4.5
25,Austin Cindric,30.0,0,0,0,38.6,20.0,1,1,78.7,0.15,0.0,13.227272727272727,4.5
26,Zane Smith,31.0,0,0,0,30.2,20.3,0,0,64.6,0.15,0.0,0.6818181818181818,4.5
27,Erik Jones,32.0,0,0,0,30.8,20.4,0,2,65.0,0.15,0.0,0.045454545454545456,4.5
28,Kyle Larson,34.0,0,0,0,88.6,12.8,3,11,93.6,0.15,80.0,39.68181818181818,4.5
29,Kyle Busch,35.0,0,0,1,80.3,17.3,0,2,72.0,0.4,0.0,2.8181818181818183,4.5
30,A.J. Allmendinger,36.0,0,0,1,27.8,20.0,0,1,67.4,0.4,0.0,0.18181818181818182,4.5
