Rank,Driver,Avg Finish,Races,Wins,Top 5's,Top 10's,Top 20's,Laps Led,Avg Start,Best Finish,Low Finish,DNF,Avg Rating
1,William Byron,9.4,11,0,3,6,11,130,13.6,3,18,0,96.7
2,Brad Keselowski,10.8,27,1,11,16,23,247,12.0,1,38,1,94.4
3,Denny Hamlin,11.3,35,7,16,23,28,858,7.5,1,43,3,108.7
4,Kyle Larson,11.6,17,0,5,9,14,158,12.9,2,33,0,95.8
5,Jimmie Johnson,12.7,38,3,11,20,32,743,11.8,1,42,4,97.0
6,Ryan Blaney,13.4,15,2,3,7,11,95,13.6,1,33,1,89.6
7,Chase Elliott,13.5,15,1,4,10,11,67,14.9,1,38,1,93.9
8,Erik Jones,13.5,13,0,5,8,9,56,18.6,2,38,1,89.3
9,Tyler Reddick,13.6,7,0,2,4,5,15,14.4,2,35,0,81.9
10,Martin Truex Jr.,14.0,35,2,7,16,28,271,13.5,1,38,2,89.8
11,Daniel Hemric,15.0,3,0,0,1,2,3,22.3,7,25,1,68.2
12,Ty Gibbs,16.0,3,0,1,1,2,25,7.3,5,27,1,78.6
13,Kyle Busch,16.3,37,4,11,18,22,585,11.8,1,43,7,95.6
14,Christopher Bell,16.3,7,0,2,3,5,17,13.6,4,39,1,83.3
15,Daniel Suarez,16.7,13,0,2,4,8,39,14.3,2,36,1,72.6
16,Carson Hocevar,17.0,1,0,0,0,1,0,15.0,17,17,0,64.3
17,Alex Bowman,17.3,15,1,3,5,8,34,19.7,1,31,0,74.7
18,Joey Logano,17.5,29,1,5,11,17,328,11.4,1,40,1,87.3
19,Juan Pablo Montoya,19.0,14,0,1,4,10,53,15.4,2,40,2,75.9
20,Austin Dillon,19.1,19,0,0,1,13,10,16.1,10,37,3,69.0
21,Bubba Wallace,19.2,12,0,1,3,6,11,19.9,5,38,2,65.8
22,Chris Buescher,20.0,15,1,1,2,10,40,19.4,1,37,1,67.3
23,Josh Berry,20.0,1,0,0,0,1,8,5.0,20,20,0,68.7
24,Harrison Burton,20.7,3,0,0,1,1,4,25.3,8,31,1,52.9
25,Chase Briscoe,20.8,5,0,0,0,2,0,24.4,15,29,0,58.0
26,Ricky Stenhouse Jr.,22.3,21,0,0,1,12,14,18.7,7,42,4,62.8
27,Justin Allgaier,22.4,5,0,0,0,2,6,26.8,16,27,0,62.1
28,A.J. Allmendinger,22.5,24,0,0,2,10,5,21.7,7,39,4,65.3
29,Ty Dillon,23.0,12,0,0,0,3,3,27.3,17,29,0,51.0
30,John Hunter Nemechek,23.7,3,0,0,0,1,0,25.3,19,28,1,51.1
31,David Ragan,23.8,26,0,1,1,8,4,27.2,5,37,1,55.0
32,Austin Cindric,24.0,3,0,0,0,1,0,16.3,18,31,0,48.4
33,Ryan Preece,24.6,8,0,0,1,2,0,25.5,8,37,2,53.9
34,Todd Gilliland,24.7,3,0,0,0,1,0,32.7,15,34,1,42.1
35,Michael McDowell,25.8,22,0,0,2,8,14,25.4,6,43,7,52.2
36,Justin Haley,25.8,4,0,0,0,0,0,29.3,21,33,1,46.6
37,Corey LaJoie,26.8,12,0,0,0,2,5,27.9,19,39,2,47.5
38,Noah Gragson,27.7,3,0,0,0,0,0,26.3,22,37,1,38.8
39,Ross Chastain,28.6,9,0,0,0,1,26,24.7,13,36,2,53.9
40,Cody Ware,28.8,5,0,0,0,0,0,33.8,25,39,2,36.0
41,Zane Smith,29.0,1,0,0,0,0,0,9.0,29,29,1,63.2
42,Anthony Alfredo,30.0,2,0,0,0,0,0,25.0,26,34,0,38.4
43,J.J. Yeley,31.8,24,0,0,0,3,1,31.3,11,43,9,40.5
44,Jeb Burton,33.3,4,0,0,0,0,0,38.5,29,36,0,32.6
45,B.J. McLeod,33.8,8,0,0,0,0,0,32.3,29,40,2,29.5
46,Timmy Hill,34.0,9,0,0,0,0,0,37.1,27,37,1,30.6
47,Josh Bilicki,34.0,6,0,0,0,0,0,32.7,32,35,2,30.5
48,Joey Gase,35.0,2,0,0,0,0,0,32.5,33,37,0,28.8
