,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev
0,Christopher Bell,7.3,0,4,0,98.0,12.1,3,9,90.1,0.03,25.555555555555557,9.208333333333334,2.5
1,Kyle Busch,7.6,6,19,0,106.0,17.6,0,2,71.2,0.03,40.26315789473684,2.5833333333333335,2.5
2,Denny Hamlin,8.1,5,20,0,109.8,13.6,4,11,89.3,0.03,65.75,24.130434782608695,2.5
3,Josh Berry,9.0,0,1,0,88.2,21.8,1,2,72.9,0.15,4.0,7.041666666666667,2.5
4,Joey Logano,10.0,2,14,1,95.8,17.2,1,2,84.0,0.03225806451612903,21.06451612903226,14.916666666666666,2.5
5,Kyle Larson,10.7,2,5,1,91.5,14.5,3,11,90.6,0.05,17.3,36.375,2.5
6,Chase Elliott,10.7,0,6,0,90.1,11.0,1,7,88.5,0.03,6.176470588235294,16.041666666666668,2.5
7,Brad Keselowski,12.1,2,6,1,97.1,20.7,0,4,70.7,0.03333333333333333,42.666666666666664,6.416666666666667,3.5
8,Tyler Reddick,14.9,0,1,0,79.4,14.4,0,5,89.2,0.03,9.88888888888889,4.666666666666667,3.5
9,William Byron,15.0,0,1,0,84.1,13.8,2,9,101.0,0.03,18.384615384615383,37.916666666666664,3.5
10,Austin Dillon,15.9,1,2,0,74.9,20.7,0,0,60.1,0.03,4.333333333333333,0.3333333333333333,3.5
11,Chase Briscoe,16.8,0,0,0,66.2,13.3,1,10,88.2,0.03,0.0,13.041666666666666,3.5
12,Daniel Suarez,17.2,0,0,0,67.0,21.4,0,1,60.6,0.03,6.2,0.8333333333333334,3.5
13,Carson Hocevar,17.5,0,0,0,58.8,22.1,0,2,73.8,0.15,1.0,3.3333333333333335,3.5
14,Alex Bowman,19.2,1,1,0,69.2,16.2,0,5,81.2,0.03,1.1176470588235294,6.666666666666667,4.5
15,Ross Chastain,19.4,0,2,1,70.1,16.1,1,3,75.9,0.08333333333333333,8.333333333333334,2.5833333333333335,4.5
16,Ryan Blaney,19.5,0,0,1,71.7,16.4,1,8,90.5,0.058823529411764705,7.705882352941177,17.916666666666668,4.5
17,Ty Gibbs,19.6,0,0,1,68.7,18.0,0,4,74.3,0.2,0.0,4.083333333333333,4.5
18,Bubba Wallace,20.4,0,1,0,67.1,17.8,1,4,80.4,0.03,6.384615384615385,5.666666666666667,4.5
19,Chris Buescher,21.5,1,2,0,64.8,13.7,0,4,82.4,0.03,5.176470588235294,1.5833333333333333,4.5
20,Ricky Stenhouse Jr.,21.6,0,1,1,65.0,21.6,0,1,54.1,0.043478260869565216,0.34782608695652173,0.125,4.5
21,Todd Gilliland,21.7,0,0,0,58.8,22.0,0,0,54.6,0.03,0.0,0.4583333333333333,4.5
22,Ryan Preece,22.2,0,1,0,61.8,15.9,0,3,79.6,0.03,0.0,2.875,4.5
23,Cole Custer,22.2,0,0,0,61.6,24.8,0,0,47.3,0.03,0.3333333333333333,0.08333333333333333,4.5
24,A.J. Allmendinger,22.3,0,0,1,62.9,19.6,0,1,68.7,0.038461538461538464,0.038461538461538464,0.16666666666666666,4.5
25,Erik Jones,22.5,0,0,2,63.7,19.9,0,2,65.1,0.13333333333333333,0.0,0.041666666666666664,4.5
26,Austin Cindric,23.0,0,0,0,54.8,19.5,1,1,79.8,0.03,0.0,12.958333333333334,4.5
27,Noah Gragson,24.2,0,0,1,52.6,25.0,0,1,54.1,0.2,0.0,0.20833333333333334,4.5
28,Ty Dillon,25.6,0,0,0,48.3,23.4,0,0,51.5,0.03,0.0,0.3333333333333333,4.5
29,John Hunter Nemechek,28.7,0,0,0,41.8,19.5,0,1,60.3,0.15,0.0,0.125,4.5
30,Zane Smith,29.0,0,0,0,44.0,20.8,0,0,63.2,0.15,0.0,0.625,4.5
31,Justin Haley,29.1,0,0,1,41.8,21.5,0,0,57.3,0.125,0.0,0.75,4.5
32,Michael McDowell,29.4,0,0,10,47.5,19.6,0,2,66.6,0.35,0.37037037037037035,3.2083333333333335,4.5
33,Riley Herbst,33.0,0,0,0,31.3,25.5,0,0,47.4,0.15,0.0,0.041666666666666664,4.5
34,Cody Ware,35.0,0,0,1,28.4,30.0,0,0,34.4,0.25,0.0,0.08333333333333333,4.5
