,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev,RoadCourseMultiplier
0,Shane van Gisbergen,2.0,0,1,0,123.9,22.5,3,3,60.5,0.15,1.0,9.043478260869565,2.5,0.7540795775458352
1,Carson Hocevar,3.0,0,1,0,103.6,22.3,0,2,74.1,0.15,1.0,3.4782608695652173,2.5,0.27179483910169616
2,Zane Smith,5.0,0,1,0,93.7,21.0,0,0,63.5,0.15,0.0,0.6521739130434783,2.5,0.25430022303495353
3,Christopher Bell,8.0,0,1,0,92.9,12.6,3,8,89.1,0.15,0.0,9.608695652173912,2.5,0.57753683359308
4,Chase Elliott,10.6,2,4,0,107.6,10.3,1,7,89.9,0.03,21.25,16.73913043478261,2.5,0.988888888888889
5,A.J. Allmendinger,10.8,1,5,1,91.5,20.0,0,1,68.2,0.07692307692307693,4.6923076923076925,0.17391304347826086,2.5,0.5360533879196673
6,Noah Gragson,11.0,0,0,0,88.3,25.2,0,1,54.3,0.15,0.0,0.21739130434782608,2.5,0.21986234021632256
7,Kyle Busch,11.7,2,7,0,103.8,17.4,0,2,71.1,0.03,13.105263157894736,2.6956521739130435,2.5,0.6797338755615536
8,Kyle Larson,12.2,2,3,0,93.9,13.5,3,11,92.9,0.03,3.8,37.95652173913044,3.5,0.7585436923742479
9,Tyler Reddick,13.0,0,0,0,78.9,14.7,0,5,89.8,0.15,0.5,4.869565217391305,3.5,0.6503656154668698
10,Austin Cindric,13.0,0,0,0,74.0,19.7,1,1,79.7,0.15,0.0,13.521739130434783,3.5,0.3667786091546883
11,Daniel Suarez,13.6,0,3,0,79.9,22.0,0,1,59.4,0.03,2.0,0.8695652173913043,3.5,0.3372875364677309
12,Brad Keselowski,14.8,0,4,0,87.6,20.3,0,4,70.3,0.03,8.785714285714286,6.478260869565218,3.5,0.337011997931429
13,William Byron,15.3,1,1,0,89.0,14.2,2,8,100.5,0.03,11.0,39.56521739130435,3.5,0.47151776112360283
14,Denny Hamlin,15.4,1,6,3,87.8,13.0,4,11,91.3,0.16666666666666666,1.1666666666666667,25.227272727272727,3.5,0.41146287747759064
15,Joey Logano,15.7,1,4,1,80.4,17.3,1,2,84.2,0.06666666666666667,2.7333333333333334,15.565217391304348,3.5,0.4745691697833509
16,Chris Buescher,16.1,1,1,0,73.7,14.2,0,3,81.4,0.03,2.111111111111111,1.434782608695652,3.5,0.5027824058960386
17,Ryan Blaney,16.1,0,1,1,74.4,16.9,1,8,89.0,0.125,0.25,17.17391304347826,3.5,0.4370365741599251
18,Erik Jones,16.9,0,2,0,76.0,20.2,0,2,64.7,0.03,0.0,0.043478260869565216,3.5,0.27556150845553096
19,Ty Gibbs,17.7,0,1,0,75.7,17.4,0,4,74.8,0.15,0.0,4.260869565217392,3.5,0.39168166545195704
20,Chase Briscoe,18.8,0,0,0,70.5,13.7,1,9,87.2,0.15,1.75,13.347826086956522,4.5,0.2947795589863563
21,Ross Chastain,19.0,0,1,1,73.0,16.4,1,3,74.9,0.16666666666666666,8.5,2.6956521739130435,4.5,0.41405820202443255
22,Cole Custer,19.0,0,0,0,63.1,24.4,0,0,48.0,0.15,2.3333333333333335,0.08695652173913043,4.5,0.2855731702167448
23,Alex Bowman,21.0,0,0,0,60.3,16.0,0,5,81.3,0.03,0.125,6.956521739130435,4.5,0.45996161423437615
24,John Hunter Nemechek,21.0,0,0,0,61.7,18.9,0,1,60.6,0.15,0.0,0.13043478260869565,4.5,0.18220255653883977
25,Todd Gilliland,21.7,0,0,1,63.2,21.8,0,0,55.0,0.3333333333333333,1.6666666666666667,0.4782608695652174,4.5,0.2756610159360038
26,Ricky Stenhouse Jr.,22.3,0,0,2,57.6,21.6,0,1,54.3,0.18181818181818182,0.09090909090909091,0.13043478260869565,4.5,0.1671700719667494
27,Ryan Preece,22.5,0,0,1,59.3,16.0,0,3,79.4,0.25,0.0,2.9565217391304346,4.5,0.2307451242979774
28,Bubba Wallace,23.3,0,0,1,52.6,18.2,1,4,79.9,0.16666666666666666,0.0,5.913043478260869,4.5,0.18242607134376507
29,Ty Dillon,24.4,0,0,0,50.9,23.1,0,0,51.5,0.03,0.0,0.34782608695652173,4.5,0.17868233888919055
30,Justin Haley,25.0,0,0,0,47.9,21.3,0,0,57.6,0.15,0.0,0.782608695652174,4.5,0.22931607184281064
31,Josh Berry,25.0,0,0,0,73.8,21.2,1,2,74.4,0.15,0.0,7.3478260869565215,4.5,0.1450344149459194
32,Michael McDowell,25.2,0,0,6,67.1,19.6,0,2,66.1,0.35,2.533333333333333,3.347826086956522,4.5,0.2935347087716924
33,Austin Dillon,25.8,0,0,0,56.0,20.9,0,0,59.8,0.03,0.6,0.34782608695652173,4.5,0.16463313848622504
34,Cody Ware,33.5,0,0,0,28.4,30.0,0,0,34.3,0.15,0.0,0.08695652173913043,4.5,0.03333333333333334
