,Driver,Avg Finish,Wins,Top 5's,DNF,Avg Rating,szn_Avg Finish,szn_Wins,szn_Top 5's,szn_Avg Rating,DNF_Prob,track_Laps Led Per Race,szn_Laps Led Per Race,Std Dev
0,William Byron,9.4,0,3,0,96.7,10.4,1,7,106.7,0.03,11.818181818181818,48.0625,2.5
1,Brad Keselowski,10.8,1,11,1,94.4,24.3,0,1,62.9,0.037037037037037035,9.148148148148149,0.5,2.5
2,Denny Hamlin,11.3,7,16,3,108.7,13.5,3,7,94.3,0.08571428571428572,24.514285714285716,30.333333333333332,2.5
3,Kyle Larson,11.6,0,5,0,95.8,12.8,3,9,96.0,0.03,9.294117647058824,53.1875,2.5
4,Ryan Blaney,13.4,2,3,1,89.6,17.4,1,6,90.6,0.06666666666666667,6.333333333333333,21.625,3.5
5,Chase Elliott,13.5,1,4,1,93.9,11.2,0,4,85.5,0.06666666666666667,4.466666666666667,5.9375,3.5
6,Erik Jones,13.5,0,5,1,89.3,19.6,0,1,63.7,0.07692307692307693,4.3076923076923075,0.0625,3.5
7,Tyler Reddick,13.6,0,2,0,81.9,14.5,0,3,90.6,0.03,2.142857142857143,5.875,3.5
8,Ty Gibbs,16.0,0,1,1,78.6,19.8,0,2,69.0,0.3333333333333333,8.333333333333334,4.0625,3.5
9,Kyle Busch,16.3,4,11,7,95.6,18.1,0,1,73.6,0.1891891891891892,15.81081081081081,3.875,3.5
10,Christopher Bell,16.3,0,2,1,83.3,10.6,3,7,94.2,0.14285714285714285,2.4285714285714284,9.5625,3.5
11,Daniel Suarez,16.7,0,2,1,72.6,21.0,0,1,62.4,0.07692307692307693,3.0,0.875,3.5
12,Carson Hocevar,17.0,0,0,0,64.3,22.8,0,2,75.1,0.15,0.0,4.375,3.5
13,Alex Bowman,17.3,1,3,0,74.7,19.3,0,3,78.1,0.03,2.2666666666666666,6.875,3.5
14,Joey Logano,17.5,1,5,1,87.3,16.9,1,2,84.5,0.034482758620689655,11.310344827586206,18.875,3.5
15,Austin Dillon,19.1,0,0,3,69.0,19.8,0,0,60.9,0.15789473684210525,0.5263157894736842,0.5,4.5
16,Bubba Wallace,19.2,0,1,2,65.8,18.3,0,3,82.4,0.16666666666666666,0.9166666666666666,6.4375,4.5
17,Chris Buescher,20.0,1,1,1,67.3,14.6,0,2,79.2,0.06666666666666667,2.6666666666666665,1.0,4.5
18,Josh Berry,20.0,0,0,0,68.7,20.9,1,2,76.8,0.15,8.0,10.5625,4.5
19,Chase Briscoe,20.8,0,0,0,58.0,14.5,0,5,80.8,0.03,0.0,5.75,4.5
20,Ricky Stenhouse Jr.,22.3,0,0,4,62.8,19.1,0,1,57.5,0.19047619047619047,0.6666666666666666,0.0,4.5
21,A.J. Allmendinger,22.5,0,0,4,65.3,20.3,0,1,66.7,0.16666666666666666,0.20833333333333334,0.125,4.5
22,Ty Dillon,23.0,0,0,0,51.0,23.1,0,0,51.3,0.03,0.25,0.5,4.5
23,John Hunter Nemechek,23.7,0,0,1,51.1,19.5,0,1,57.1,0.3333333333333333,0.0,0.125,4.5
24,Austin Cindric,24.0,0,0,0,48.4,19.1,1,1,80.0,0.15,0.0,14.9375,4.5
25,Ryan Preece,24.6,0,0,2,53.9,18.6,0,1,78.5,0.25,0.0,3.3125,4.5
26,Todd Gilliland,24.7,0,0,1,42.1,20.1,0,0,58.5,0.3333333333333333,0.0,0.6875,4.5
27,Michael McDowell,25.8,0,0,7,52.2,18.3,0,1,66.8,0.3181818181818182,0.6363636363636364,2.6875,4.5
28,Justin Haley,25.8,0,0,1,46.6,22.5,0,0,55.0,0.25,0.0,0.0,4.5
29,Noah Gragson,27.7,0,0,1,38.8,23.2,0,1,58.2,0.3333333333333333,0.0,0.125,4.5
30,Ross Chastain,28.6,0,0,2,53.9,12.6,1,3,80.3,0.2222222222222222,2.888888888888889,3.625,4.5
31,Cody Ware,28.8,0,0,2,36.0,30.3,0,0,33.3,0.35,0.0,0.125,4.5
32,Zane Smith,29.0,0,0,1,63.2,20.0,0,0,64.2,0.4,0.0,0.625,4.5
